Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Cost per item,Variant Requires Shipping,Variant Taxable,Status
lyslykt-juletre-jul01,Lyslykt juletre,<p>Lyslykt</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,jul01,shopify,12,deny,manual,29,49,12,TRUE,TRUE,draft
reinsdyrdekorasjon-11cm-5794-70,Reinsdyrdekorasjon 11cm,<p>Reinsdyrdekorasjon Diameter : 11cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5794-70,shopify,30,deny,manual,79,129,12,TRUE,TRUE,draft
reinsdyrdekorasjon-25cm-5795-70,Reinsdyrdekorasjon 25cm,<p>Reinsdyrdekorasjon Diameter : 25cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5795-70,shopify,10,deny,manual,180,299,12,TRUE,TRUE,draft
stjerne-12cm-5760-70,Stjerne 12cm,<p>Stjerne Bredde : 12cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5760-70,shopify,19,deny,manual,29,35,12,TRUE,TRUE,draft
stjerne-30cm-5855-01,Stjerne 30cm,<p>Stjerne Diameter : 30cm</p>,Varekompaniet,jul,Migrert,FALSE,Title,Default Title,5855-01,shopify,4,deny,manual,110,179,12,TRUE,TRUE,draft
5-armet-kandelaber-50cm-4150-02,5-armet Kandelaber 50cm,<p>5-armet Kandelaber Høyde : 50 cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4150-02,shopify,2,deny,manual,600,999,12,TRUE,TRUE,draft
dekorstener-1004-101,Dekorstener,"<p>Dekorstener Vekt : 3,5 kg Størrelse :5-8cm Farge : Hvit</p>",Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,1004-101,shopify,30,deny,manual,89,149,12,TRUE,TRUE,draft
dekorstener-1003-101,Dekorstener,<p>Dekorstener Antall : 2kg Størrelse : 2-4cm Farge : hvit</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,1003-101,shopify,6,deny,manual,89,149,12,TRUE,TRUE,draft
elg-10cm-40181484,Elg 10cm,<p>Elg Høyde : 10cm Lengde : 10cm Bredde : 4cm Material : Polyresin</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,40181484,shopify,1,deny,manual,59,99,12,TRUE,TRUE,draft
etasjefat-55cm-40212193,Etasjefat 55cm,<p>Nydelig sort etasjefat i metall fra Holmen interiør. Høyde : 55cm Ø : 14-35cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,40212193,shopify,1,deny,manual,720,1199,12,TRUE,TRUE,draft
fat-av-metall-40cm-4315-02,Fat av metall 40cm,<p>Metallfat for servering eller pynt Lengde & Bredde : 40cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4315-02,shopify,2,deny,manual,420,699,12,TRUE,TRUE,draft
fat-av-metall-4315-01,Fat av metall,"<p>Fat av metall, Røff eangde/bredde : 30cm</p>",Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4315-01,shopify,1,deny,manual,300,499,12,TRUE,TRUE,draft
glassvase-60cm-40180011,Glassvase 60cm,<p>Glassvase Høyde : 60cm Ø : 17cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,40180011,shopify,5,deny,manual,300,499,12,TRUE,TRUE,draft
glassvase-80cm-40180012,Glassvase 80cm,<p>Glassvase Høyde : 80cm Ø ; 18cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,40180012,shopify,4,deny,manual,360,599,12,TRUE,TRUE,draft
hjerte-25cm-9073-02,Hjerte 25cm,<p>Hengende hjerte Ø : 25cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,9073-02,shopify,2,deny,manual,59,99,12,TRUE,TRUE,draft
leirepotte-12cm-4342-01,Leirepotte 12cm,<p>Leirepotte Høyde : 12cm Ø topp : 10cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4342-01,shopify,22,deny,manual,79,119,12,TRUE,TRUE,draft
leirepotte-12cm-4343-01,Leirepotte 12cm,<p>Potte av leire Høyde : 12cm Ø topp : 10cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4343-01,shopify,10,deny,manual,79,119,12,TRUE,TRUE,draft
leirepotte-14cm-4342-02,Leirepotte 14cm,<p>Leirepotte Høyde : 14cm Ø topp : 13cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4342-02,shopify,6,deny,manual,99,159,12,TRUE,TRUE,draft
lysbrikke-roff-18cm-4233-01,Lysbrikke røff 18cm,<p>Lysbrikke i metall Røff Plass til 7 lys Høyde : 18cm Bredde : 42cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4233-01,shopify,1,deny,manual,290,489,12,TRUE,TRUE,draft
lysestake-4461-02,Lysestake,<p>Lysestake i metall. (For kubbelys) Høyde : 60cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4461-02,shopify,4,deny,manual,450,749,12,TRUE,TRUE,draft
lyslykt-38cm-4457-02,Lyslykt 38cm,<p>Lyslykt for 2 lys. Høyde : 26cm Lengde : 38cm Bredde :17cm Ø : 15cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4457-02,shopify,4,deny,manual,840,1399,12,TRUE,TRUE,draft
lyslykt-61cm-4457-03,Lyslykt 61cm,<p>Lyslykt for 3 lys Lengde : 61cm Høyde : 26 Bredde : 17cm Ø : 15cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4457-03,shopify,3,deny,manual,1080,1799,12,TRUE,TRUE,draft
metallfat-100cm-oval-4316-05,Metallfat 100cm Oval,<p>Fat i metall. Lengde : 100cm Bredde : 60cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4316-05,shopify,4,deny,manual,2100,3499,12,TRUE,TRUE,draft
metallfat-100cm-4314-03,Metallfat 100cm,<p>Fat i metall. Lengde : 100cm Bredde : 30cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4314-03,shopify,4,deny,manual,1380,2299,12,TRUE,TRUE,draft
metallfat-120cm-4314-04,Metallfat 120cm,<p>Fat i metall. Lengde :120cm Bredde : 30cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4314-04,shopify,5,deny,manual,1680,2799,12,TRUE,TRUE,draft
metallfat-80cm-4314-02,Metallfat 80cm,<p>Fat i metall. Lengde : 80cm Bredde : 30cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4314-02,shopify,5,deny,manual,900,1499,12,TRUE,TRUE,draft
pose-med-kongler-1745-70,Pose med kongler,<p>Pose med dekorasjonskongler.</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,1745-70,shopify,48,deny,manual,49,69,12,TRUE,TRUE,draft
pose-med-kongler-1747-70,Pose med kongler,<p>Pose med dekorasjonskongler.</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,1747-70,shopify,48,deny,manual,49,69,12,TRUE,TRUE,draft
potte-i-metall-4251-01,Potte i metall,<p>Nydelig potte i metall. Høyde : 15cm Bredde : 40cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4251-01,shopify,6,deny,manual,480,799,12,TRUE,TRUE,draft
serveringsfat-gerry-40200445,Serveringsfat Gerry,<p>Gerry serveringsfat av tre fra Holmen Interiør. Høyde : 7cm Bredde : 31cm Lengde : 44cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,40200445,shopify,0,deny,manual,360,599,12,TRUE,TRUE,draft
silas-potte-12cm-40220454,Silas potte 12cm,<p>Potte av keramikk Høyde : 11cm Ø : 12cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,40220454,shopify,7,deny,manual,79,129,12,TRUE,TRUE,draft
vase-i-metall-88cm-4437-02,Vase i metall 88cm,<p>Vase i metall Høyde : 88cm Ø topp : 25cm</p>,Varekompaniet,interiorartikler,Migrert,FALSE,Title,Default Title,4437-02,shopify,2,deny,manual,1500,2499,12,TRUE,TRUE,draft
3-stk-kaktusfrukter-5558-99,3 stk Kaktusfrukter,"<p>3 stk. Kaktusfrukter Lengde : 9cm Bredde : 5,5cm</p>",Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,5558-99,shopify,3,deny,manual,89,139,12,TRUE,TRUE,draft
3-stk-kaktus-13-20cm-9170-99-1,3 stk Kaktus 13-20cm,<p>3 stk kaktus i potte. Høyde : 13-20cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,9170-99-1,shopify,4,deny,manual,120,199,12,TRUE,TRUE,draft
3-stk-kaktus-9177-99-1,3 stk kaktus,<p>3 stk kaktus i potte. Assortert. Høyde : 8-13cm Potte høyde : 5cm Potte Ø topp : 6cm Potte Ø bunn : 4cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,9177-99-1,shopify,4,deny,manual,110,179,12,TRUE,TRUE,draft
4-stk-kaktus-9174-99-1,4 stk kaktus,<p>4 stk assorterte kaktus i potte. Høyde : 15-22cm Potte høyde : 6cm Potte Ø topp : 8cm Potte Ø bunn : 6cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,9174-99-1,shopify,13,deny,manual,270,449,12,TRUE,TRUE,draft
assorterte-kaktus-5-11cm-24-stk-1508-99-1,Assorterte Kaktus 5-11cm - 24 stk,<p>Nydelige små kaktus i potte. Antall : 24 stk Høyde : 5-11cm Potte høyde : 4cm Potte diameter topp : 4cm Potte diameter bunn : 3cm Kommer i trekasser som på bildet.</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,1508-99-1,shopify,9,deny,manual,480,799,12,TRUE,TRUE,draft
kaktus-23cm-9155-90-1,Kaktus 23cm,<p>Kaktus i potte. Høyde : 23cm Ø : 14cm Potte høyde ; 9cm Potte Ø topp : 11cm Potte Ø bunn : 8cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,9155-90-1,shopify,25,deny,manual,79,119,12,TRUE,TRUE,draft
kaktus-23cm-9580-80-1,Kaktus 23cm,<p>Kaktus i potte. Høyde : 23cm Potte høyde : 6cm Potte Ø topp : 8cm Potte Ø bunn : 6cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,9580-80-1,shopify,19,deny,manual,59,99,12,TRUE,TRUE,draft
kaktus-23cm-8102,Kaktus 23cm,<p>Kaktus i potte Høyde : 23cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,8102,shopify,2,deny,manual,89,149,12,TRUE,TRUE,draft
kaktus-28cm-8114,Kaktus 28cm,<p>Kaktus i potte Høyde : 28cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,8114,shopify,3,deny,manual,150,249,12,TRUE,TRUE,draft
kaktus-97cm-1666-90-1,Kaktus 97cm,<p>Kaktus i potte Høyde : 97cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,1666-90-1,shopify,1,deny,manual,1500,2499,12,TRUE,TRUE,draft
kaktus-98cm-1663-90-1,Kaktus 98cm,<p>Kaktus i potte Høyde : 98cm</p>,Varekompaniet,kaktus,Migrert,FALSE,Title,Default Title,1663-90-1,shopify,5,deny,manual,900,1499,12,TRUE,TRUE,draft
bambusgrilander-180cm-1557-90,Bambusgrilander 180cm,<p>Bambus Lengde : 180cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,1557-90,shopify,20,deny,manual,180,299,12,TRUE,TRUE,draft
blomkarsegirlander-120cm-8251-35,Blomkarsegirlander 120cm,<p>Blomkarse Lengde : 120cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,8251-35,shopify,1,deny,manual,140,229,12,TRUE,TRUE,draft
efoy-girlang-120cm-6123-95,Eføy Girlang 120cm,<p>Eføy Girland Lengde : 120cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,6123-95,shopify,1,deny,manual,120,199,12,TRUE,TRUE,draft
efoygirlang-180cm-5815-95,Eføygirlang 180cm,<p>Eføygirlang Lengde : 180cm Diameter : 6-8cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,5815-95,shopify,2,deny,manual,59,89,12,TRUE,TRUE,draft
efoygirlang-205cm-gronn-hvit-taler-sollys-5730-1,Eføygirlang 205cm Grønn/Hvit- Tåler sollys,<p>Eføygirlang Tåler sollys meget godt. Lengde : 205cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,5730-1,shopify,21,deny,manual,210,349,12,TRUE,TRUE,draft
efoygirlang-205cm-taler-sollys-5730,Eføygirlang 205cm - Tåler sollys,<p>Girlang av Eføy. Tåler å sollys meget godt. Lengde : 205cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,5730,shopify,3,deny,manual,210,349,12,TRUE,TRUE,draft
efoygrilang-120cm-6122-90,Eføygrilang 120cm,<p>Eføygirlang Lengde : 120cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,6122-90,shopify,1,deny,manual,89,149,12,TRUE,TRUE,draft
efoygrilang-180cm-gronn-hvit-1556-95,Eføygrilang 180cm Grønn/hvit,<p>Eføygirlang Lengde : 180cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,1556-95,shopify,4,deny,manual,140,239,12,TRUE,TRUE,draft
gullrankegirlander-125cm-6587-95,Gullrankegirlander 125cm,<p>Gullranke Lengde : 125cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,6587-95,shopify,13,deny,manual,100,169,12,TRUE,TRUE,draft
hostlovgirlander-180cm-1950-35,Høstløvgirlander 180cm,<p>Høstløvgirlander Lengde : 180cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,1950-35,shopify,6,deny,manual,150,249,12,TRUE,TRUE,draft
ipomeagirlander-120cm-bla-3596-60,Ipomeagirlander 120cm blå,<p>Ipomea Lengde : 120cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,3596-60,shopify,7,deny,manual,120,199,12,TRUE,TRUE,draft
ipomeagirlander-120cm-hvit-3596-10,Ipomeagirlander 120cm hvit,<p>Ipomea Lengde : 120cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,3596-10,shopify,7,deny,manual,120,199,12,TRUE,TRUE,draft
ipomeagirlander-120cm-rosa-3596-20,Ipomeagirlander 120cm rosa,<p>Ipomea Lengde : 120cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,3596-20,shopify,12,deny,manual,120,199,12,TRUE,TRUE,draft
palettbladgirlander-160cm-2593-96,Palettbladgirlander 160cm,<p>Palettblad Lengde : 160cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,2593-96,shopify,5,deny,manual,140,229,12,TRUE,TRUE,draft
peperomiagirlang-180cm-gronn-2045-90,Peperomiagirlang 180cm grønn,<p>Peperomia Lengde : 180cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,2045-90,shopify,1,deny,manual,120,199,12,TRUE,TRUE,draft
peperomiagirlang-180cm-mork-gronn-2045-95,Peperomiagirlang 180cm mørk grønn,<p>Peperomia Lengde : 180cm</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,2045-95,shopify,3,deny,manual,140,229,12,TRUE,TRUE,draft
rosegirlang-160cm-hvit-2194-10,Rosegirlang 160cm hvit,<p>Rosegirlang Lengde : 160cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,2194-10,shopify,2,deny,manual,110,179,12,TRUE,TRUE,draft
rosegirlang-160cm-rod-2194-80,Rosegirlang 160cm rød,<p>Rosegirlang Lengde : 160cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,2194-80,shopify,1,deny,manual,110,179,12,TRUE,TRUE,draft
rosegirlang-160cm-rosa-2194-20,Rosegirlang 160cm rosa,<p>Rosegirlang Lengde : 160cm Merk : Tåler ikke utendørs bruk. Vil falme over tid.</p>,Varekompaniet,girlander,Migrert,FALSE,Title,Default Title,2194-20,shopify,8,deny,manual,110,179,12,TRUE,TRUE,draft
blomsterkrans-27cm-9267-99,Blomsterkrans 27cm,<p>Blomsterkrans Ø 27cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9267-99,shopify,6,deny,manual,110,189,12,TRUE,TRUE,draft
blomsterkrans-27cm-9269-45,Blomsterkrans 27cm,<p>Blomsterkrans Ø 27cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9269-45,shopify,18,deny,manual,140,229,12,TRUE,TRUE,draft
blomsterkrans-30cm-2531-80,Blomsterkrans 30cm,<p>Blomsterkrans Ø : 30cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,2531-80,shopify,1,deny,manual,150,249,12,TRUE,TRUE,draft
blomsterkrans-34cm-6196-20,Blomsterkrans 34cm,<p>Blomsterkrans Diameter : 34cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,6196-20,shopify,0,deny,manual,180,299,12,TRUE,TRUE,draft
granbarkrans-28cm-9054-01,Granbarkrans 28cm,<p>Granbarkrans Diameter 28cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9054-01,shopify,1,deny,manual,140,229,12,TRUE,TRUE,draft
granbarkrans-35cm-9054-02,Granbarkrans 35cm,<p>Granbarkrans Diameter 35cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9054-02,shopify,1,deny,manual,180,299,12,TRUE,TRUE,draft
granbarkrans-40cm-3564-01,Granbarkrans 40cm,<p>Granbarkrans Ø : 40cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,3564-01,shopify,1,deny,manual,240,399,12,TRUE,TRUE,draft
hengekrans-40cm-9600-90,Hengekrans 40cm,<p>Takhengt krans Diameter : 40cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9600-90,shopify,1,deny,manual,450,749,12,TRUE,TRUE,draft
hengende-krans-80cm-9876-90,Hengende krans 80cm,<p>Hengende krans. Høyde : 80cm Diameter : 30cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9876-90,shopify,1,deny,manual,360,599,12,TRUE,TRUE,draft
hostkrans-60cm-1684-35,Høstkrans 60cm,<p>Høstkrans Diameter : 60cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,1684-35,shopify,6,deny,manual,410,689,12,TRUE,TRUE,draft
kornkrans-30cm-8450-50,Kornkrans 30cm,<p>Krans av korn. Bredde : 30cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,8450-50,shopify,2,deny,manual,200,329,12,TRUE,TRUE,draft
krans-25-cm-9461-60,Krans 25 cm,<p>Krans Ø : 25cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,9461-60,shopify,3,deny,manual,160,269,12,TRUE,TRUE,draft
krans-25cm-2814-10,Krans 25cm,<p>Krans Diameter : 25cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,2814-10,shopify,2,deny,manual,180,299,12,TRUE,TRUE,draft
krans-31cm-7509-70,Krans 31cm,<p>Krans Diameter 31cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,7509-70,shopify,5,deny,manual,150,249,12,TRUE,TRUE,draft
krans-35cm-2815-10,Krans 35cm,<p>Krans Diameter : 35cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,2815-10,shopify,1,deny,manual,300,499,12,TRUE,TRUE,draft
krans-38cm-1400-70,Krans 38cm,<p>Krans Diameter : 38cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,1400-70,shopify,4,deny,manual,180,299,12,TRUE,TRUE,draft
krans-42cm-5472-90,Krans 42cm,<p>Krans Diameter : 42cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,5472-90,shopify,4,deny,manual,230,379,12,TRUE,TRUE,draft
krans-40cm-2808-90,Krans 40cm,<p>Krans Diameter : 40cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,2808-90,shopify,5,deny,manual,330,549,12,TRUE,TRUE,draft
kvistkrans-30cm-5856-01,Kvistkrans 30cm,<p>Krans av kongler og kvist. Bredde : 30cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,5856-01,shopify,1,deny,manual,180,299,12,TRUE,TRUE,draft
lerkekrans-25cm-3298-01,Lerkekrans 25cm,<p>Lerkekrans Ø : 25cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,3298-01,shopify,19,deny,manual,150,249,12,TRUE,TRUE,draft
lerkekrans-50cm-3417-01,Lerkekrans 50cm,<p>Lerkekrans Ø : Ca 50cm i ytterkant.</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,3417-01,shopify,1,deny,manual,210,349,12,TRUE,TRUE,draft
solvkrans-45cm-5475-55,Sølvkrans 45cm,<p>Sølvkrans Diameter : 45cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,5475-55,shopify,2,deny,manual,180,299,12,TRUE,TRUE,draft
sommerkrans-30cm-1803-01,Sommerkrans 30cm,<p>Sommerkrans Diameter : 30cm</p>,Varekompaniet,kranser,Migrert,FALSE,Title,Default Title,1803-01,shopify,0,deny,manual,130,219,12,TRUE,TRUE,draft
lysmansjett-2319-40,Lysmansjett,<p>Lysmansjett Bredde indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2319-40,shopify,100,deny,manual,29,39,12,TRUE,TRUE,draft
lysmansjett-2672-10,Lysmansjett,"<p>Lysmansjett Bredde indre ring : 3,5cm</p>",Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2672-10,shopify,1,deny,manual,29,39,12,TRUE,TRUE,draft
lysmansjett-3cm-1734-10,Lysmansjett 3cm,<p>Lysmansjett Ø indre ring : 3cm For vanlig stearinlys</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,1734-10,shopify,0,deny,manual,29,39,12,TRUE,TRUE,draft
lysmansjett-3cm-1734-20,Lysmansjett 3cm,<p>Lysmansjett Ø indre ring : 3cm For vanlig stearinlys</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,1734-20,shopify,2,deny,manual,29,39,12,TRUE,TRUE,draft
lysmansjett-3cm-6198-40,Lysmansjett 3cm,<p>Lysmansjett Ø indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,6198-40,shopify,78,deny,manual,29,49,12,TRUE,TRUE,draft
lysmansjett-5843-10,Lysmansjett,<p>Lysmansjett Bredde indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,5843-10,shopify,2,deny,manual,29,49,12,TRUE,TRUE,draft
lysmansjett-5843-42,Lysmansjett,<p>Lysmansjett Bredde indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,5843-42,shopify,18,deny,manual,39,59,12,TRUE,TRUE,draft
lysmansjett-5843-85,Lysmansjett,<p>Lysmansjett Bredde indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,5843-85,shopify,20,deny,manual,29,49,12,TRUE,TRUE,draft
lysmansjett-5846-10,Lysmansjett,<p>Lysmansjett Bredde indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,5846-10,shopify,1,deny,manual,29,49,12,TRUE,TRUE,draft
lysmansjett-5846-40,Lysmansjett,<p>Lysmansjett Bredde indre ring : 3cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,5846-40,shopify,68,deny,manual,29,49,12,TRUE,TRUE,draft
lysmansjett-5917-10,Lysmansjett,<p>Lysmansjett til vanlig stearinlys 3 cm hovedfarge hvit</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,5917-10,shopify,5,deny,manual,29,49,12,TRUE,TRUE,draft
lysmansjett-8cm-hvit-2813-10,Lysmansjett 8cm hvit,<p>Lysmansjett Diameter : 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2813-10,shopify,2,deny,manual,59,99,12,TRUE,TRUE,draft
lysmansjett-8cm-lilla-2813-42,Lysmansjett 8cm lilla,<p>Lysmansjett Diameter : 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2813-42,shopify,14,deny,manual,59,99,12,TRUE,TRUE,draft
lysmansjett-8cm-rod-2813-85,Lysmansjett 8cm rød,<p>Lysmansjett Diameter : 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2813-85,shopify,26,deny,manual,59,99,12,TRUE,TRUE,draft
lysmansjett-gronn-hvit-1897-01,Lysmansjett grønn/hvit,<p>Lysmansjett for stearinlys Diameter indre ring : 4cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,1897-01,shopify,2,deny,manual,29,39,12,TRUE,TRUE,draft
lysmansjett-kubbelys-2344-40,Lysmansjett kubbelys,<p>Lysmansjett til kubbelys Bredde indre ring : 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2344-40,shopify,85,deny,manual,59,89,12,TRUE,TRUE,draft
lysmansjett-kubbelys-1895-02,Lysmansjett kubbelys,<p>Lysmansjett for kubbelys Diameter indre ring : 6cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,1895-02,shopify,2,deny,manual,49,69,12,TRUE,TRUE,draft
lysmansjett-kubbelys-2837-80,Lysmansjett kubbelys,<p>Lysmansjett til kubbelys Bredde indre ring : 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2837-80,shopify,2,deny,manual,39,59,12,TRUE,TRUE,draft
lysmansjett-kubbelys-lilla-2002-40,Lysmansjett kubbelys lilla,<p>Lysmansjett Diameter 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2002-40,shopify,8,deny,manual,79,119,12,TRUE,TRUE,draft
lysmansjett-kubbelys-rod-2002-80,Lysmansjett Kubbelys rød,<p>Lysmansjett Diameter 8cm</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2002-80,shopify,39,deny,manual,79,119,12,TRUE,TRUE,draft
lysmansjett-rod-2670-80,Lysmansjett rød,<p>Lysmansjett til stearinlys 3cm indre ring.</p>,Varekompaniet,lysmansjetter,Migrert,FALSE,Title,Default Title,2670-80,shopify,6,deny,manual,29,49,12,TRUE,TRUE,draft
areca-palme-120cm-7149-120,Areca Palme 120cm,<p>Areca Palme i potte Høyde : 120cm</p>,Varekompaniet,palmer,Migrert,FALSE,Title,Default Title,7149-120,shopify,1,deny,manual,840,1399,12,TRUE,TRUE,draft
areca-palme-270cm-7149-270,Areca Palme 270cm,<p>Areca Palme Høyde : 270cm</p>,Varekompaniet,palmer,Migrert,FALSE,Title,Default Title,7149-270,shopify,2,deny,manual,3000,4999,12,TRUE,TRUE,draft
